Field,Current owner,Semantic meaning,Writer(s),Reader(s),Lifetime,Invalidation,Independent info?,Can derive?,Target action,Target owner,Replacement,Equivalence evidence,Category,Type,Source,Blob
NavigationMode.px4_local_velocity_ned_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<Eigen::Vector3d>,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:154,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.lio_to_px4_local_translation_ned_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<Eigen::Vector3d>,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:155,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_local_position_receive_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:163,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_position_receive_steady_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:164,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_xy_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:165,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_z_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:166,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_vxy_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:167,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_vz_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:168,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_dead_reckoning_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:169,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_heading_good_for_control_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:170,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_heading_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:171,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_heading_ned_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,double,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:172,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_heading_variance_rad2_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,double,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:173,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_delta_xy_north_m_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,float,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:174,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_delta_xy_east_m_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,float,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:175,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_delta_z_m_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,float,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:176,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_delta_heading_rad_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,float,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:177,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_px4_local_position_receive_steady_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:178,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.px4_local_frame_aligned_,NavigationMode,independent frame alignment latch,PX4 local-position/reset path,setpoint conversion gate,PX4 frame alignment,reset/lifecycle,yes: independently observed frame,no from planner state,KEEP,PX4Boundary,independent frame alignment latch,navigation_mode.hpp:152-180; target equivalence pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:179,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.navigation_command_,NavigationMode,last independently admitted command and lease,onNavigationCommand/lifecycle,updateMission/updateSetpoint,last locally accepted command,new accepted sample/expiry/lifecycle,yes: receive witness,no from producer state,KEEP,PX4Boundary,last independently admitted command and lease,navigation_mode_node.cpp:1328-1410; target equivalence pending,behavioral candidate,std::optional<navigation_contracts::msg::NavigationCommand>,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:180,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.lio_health_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:181,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.typed_health_seen_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:182,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_state_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint8_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:183,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_navigation_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:184,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_covariance_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:185,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_observability_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:186,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_correction_fresh_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:187,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_propagation_valid_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:188,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.lio_localization_epoch_,NavigationMode,independently observed estimator epoch,health/odometry input,command epoch comparison,estimator epoch,new estimator epoch/lifecycle,yes: receiver observation,no from command alone,KEEP,PX4Boundary,independently observed estimator epoch,navigation_mode.hpp:181-196; navigation_mode_node.cpp:1384-1388; target equivalence pending,behavioral candidate,std::uint64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:189,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_propagated_state_stamp_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:190,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_propagated_state_sequence_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:191,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_lio_diagnostics_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:192,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_source_stamp_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:193,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_correction_stamp_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:194,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_propagated_stamp_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:195,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_health_receive_steady_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:196,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.mission_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<Mission>,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:197,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.mission_controller_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::unique_ptr<MissionController>,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:198,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.failure_reported_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:200,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.mode_active_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:201,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.mission_terminal_,NavigationMode,requires writer/reader proof,mission event/lifecycle,command admission/updateMission/setpoint,mission terminal observation,lifecycle,may mirror MissionController Complete,not safely without explicit event,UNRESOLVED,UNRESOLVED,not established,"navigation_mode_node.cpp:737-738,1617-1618,2467-2472; target equivalence pending",behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:202,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.handover_requested_,NavigationMode,requires writer/reader proof,mission/safety event/lifecycle,command admission/setpoint,handover request,lifecycle/authority release,protocol request memory,may encode in PX4 protocol variant,UNRESOLVED,UNRESOLVED,not established,"navigation_mode_node.cpp:1482-1639,2467-2472; target equivalence pending",behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:203,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.planner_recovery_pending_,NavigationMode,requires writer/reader proof,completed command/lifecycle/clear helper,recovery expiry/setpoint/admission,completed endpoint recovery window,new command/timeout/lifecycle,receiver deadline memory,may replace with explicit protocol event,UNRESOLVED,UNRESOLVED,not established,"navigation_mode_node.cpp:74-92,1234-1241,1340-1355; target equivalence pending",behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:204,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.planner_recovery_deadline_ns_,NavigationMode,requires writer/reader proof,completed command/clear helper,recovery expiry,completed endpoint recovery window,new command/timeout/lifecycle,receiver temporal deadline,no from producer timer,UNRESOLVED,UNRESOLVED,not established,"navigation_mode_node.cpp:74-92,1234-1241,1340-1355; target equivalence pending",behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:205,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.planner_recovery_mission_id_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::string,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:206,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.planner_recovery_waypoint_index_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint32_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:207,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.planner_recovery_request_id_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:208,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.planner_recovery_bundle_generation_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:209,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.safety_suffix_handoff_pending_,NavigationMode,requires writer/reader proof,retained BACKUP handoff/clear,adjacent command admission,lease-bound suffix bridge,first current command/lifecycle/stop,receiver handoff memory,possibly explicit retained-reference protocol,UNRESOLVED,UNRESOLVED,not established,"navigation_mode_node.cpp:918-923,1499-1520,1852-1854; target equivalence pending",behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:214,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.safety_suffix_waypoint_index_,NavigationMode,requires writer/reader proof,retained BACKUP handoff/clear,adjacent command admission,lease-bound suffix bridge,first current command/lifecycle/stop,identity witness,may derive from retained command if retained,UNRESOLVED,UNRESOLVED,not established,"navigation_mode_node.cpp:918-923,1499-1520; target equivalence pending",behavioral candidate,std::uint32_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:215,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.safety_suffix_request_id_,NavigationMode,requires writer/reader proof,retained BACKUP handoff/clear,adjacent command admission,lease-bound suffix bridge,first current command/lifecycle/stop,identity witness,may derive from retained command if retained,UNRESOLVED,UNRESOLVED,not established,"navigation_mode_node.cpp:918-923,1499-1520; target equivalence pending",behavioral candidate,std::uint64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:216,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_completed_waypoint_index_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint32_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:217,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_completed_request_id_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:218,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.completion_position_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<Eigen::Vector3d>,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:219,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.safety_hold_position_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<Eigen::Vector3d>,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:220,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.mission_complete_published_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:221,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_status_state_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint8_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:222,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_odometry_receive_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:230,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_odometry_receive_steady_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:231,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_goal_publish_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:233,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_command_receive_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:234,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_setpoint_update_ns_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:236,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_state_age_s_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,double,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:240,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.last_velocity_command_enu_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,Eigen::Vector3d,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:241,0bf4112406a2d859486aded7c8d85ca06adcc526
NavigationMode.alignment_latch_generation_,NavigationMode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:256,0bf4112406a2d859486aded7c8d85ca06adcc526
